id,plant_id,account_type,category,is_active,plant_name,unit,    plant_condition,year,compensation_price,notes
114,PLTA0053,A,ข,1,เขี้ยวกระแต,ต้น,มีผล/ขนาดใหญ่,2559,,
115,PLTA0054,A,ข,1,ไข่เน่า,ต้น,ไม่มีผล/ขนาดเล็ก,2559,70,
116,PLTA0054,A,ข,1,ไข่เน่า,ต้น,มีผล/ขนาดใหญ่,2559,140,
117,PLTA0055,A,ค,1,คริสต์มาส,ต้น,ไม่มีผล/ขนาดเล็ก,2559,350,
118,PLTA0055,A,ค,1,คริสต์มาส,ต้น,มีผล/ขนาดใหญ่,2559,500,
119,PLTA0056,A,ค,1,คริสติน่า,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,
120,PLTA0056,A,ค,1,คริสติน่า,ต้น,มีผล/ขนาดใหญ่,2559,,
121,PLTA0057,A,ค,1,ควินิน,ต้น,ไม่มีผล/ขนาดเล็ก,2559,300,
122,PLTA0057,A,ค,1,ควินิน,ต้น,มีผล/ขนาดใหญ่,2559,600,
123,PLTA0058,A,ค,1,ค้อ,ต้น,ไม่มีผล/ขนาดเล็ก,2559,15,
124,PLTA0058,A,ค,1,ค้อ,ต้น,มีผล/ขนาดใหญ่,2559,30,
125,PLTA0059,A,ค,1,คอแลน ลิ้นจี่ป่า หมักแวว มะแง้ว,ต้น,ไม่มีผล/ขนาดเล็ก,2559,100,
126,PLTA0059,A,ค,1,คอแลน ลิ้นจี่ป่า หมักแวว มะแง้ว,ต้น,มีผล/ขนาดใหญ่,2559,200,
127,PLTA0060,A,ค,1,คัดเค้า,ต้น,ไม่มีผล/ขนาดเล็ก,2559,160,
128,PLTA0060,A,ค,1,คัดเค้า,ต้น,มีผล/ขนาดใหญ่,2559,250,
129,PLTA0061,A,ค,1,คันสูง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,100,
130,PLTA0061,A,ค,1,คันสูง,ต้น,มีผล/ขนาดใหญ่,2559,200,
131,PLTA0062,A,ค,1,คาง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,75,
132,PLTA0062,A,ค,1,คาง,ต้น,มีผล/ขนาดใหญ่,2559,150,
133,PLTA0063,A,ค,1,คูณ ราชพฤกษ์,ต้น,ไม่มีผล/ขนาดเล็ก,2559,1000,
134,PLTA0063,A,ค,1,คูณ ราชพฤกษ์,ต้น,มีผล/ขนาดใหญ่,2559,2000,
135,PLTA0064,A,ค,1,แค (แคบ้าน),ต้น,ไม่มีผล/ขนาดเล็ก,2559,150,
136,PLTA0064,A,ค,1,แค (แคบ้าน),ต้น,มีผล/ขนาดใหญ่,2559,300,
137,PLTA0065,A,ค,1,แคแสด,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,
138,PLTA0065,A,ค,1,แคแสด,ต้น,มีผล/ขนาดใหญ่,2559,,
139,PLTA0066,A,ค,1,แคทราย แคป่า แคนา,ต้น,ไม่มีผล/ขนาดเล็ก,2559,500,
140,PLTA0066,A,ค,1,แคทราย แคป่า แคนา,ต้น,มีผล/ขนาดใหญ่,2559,1000,
141,PLTA0067,A,ค,1,แคฝรั่ง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,750,
142,PLTA0067,A,ค,1,แคฝรั่ง,ต้น,มีผล/ขนาดใหญ่,2559,1500,
143,PLTA0068,A,ง,1,ง้าว,ต้น,ไม่มีผล/ขนาดเล็ก,2559,95,
144,PLTA0068,A,ง,1,ง้าว,ต้น,มีผล/ขนาดใหญ่,2559,190,
145,PLTA0069,A,ง,1,งิ้ว (นุ่น),ต้น,ไม่มีผล/ขนาดเล็ก,2559,675,
146,PLTA0069,A,ง,1,งิ้ว (นุ่น),ต้น,มีผล/ขนาดใหญ่,2559,1350,
147,PLTA0070,A,ง,1,เงาะพันธุ์ดี ก. ขนาดเล็ก สูงไม่ถึง 2 เมตร,ต้น,ไม่มีผล/ขนาดเล็ก,2559,1360,
148,PLTA0070,A,ง,1,เงาะพันธุ์ดี ก. ขนาดเล็ก สูงไม่ถึง 2 เมตร,ต้น,มีผล/ขนาดใหญ่,2559,1360,
149,PLTA0070,A,ง,1,เงาะพันธุ์ดี ข. ขนาดกลาง สูงตั้งแต่ 2 เมตร ขึ้นไป,ต้น,ไม่มีผล/ขนาดเล็ก,2559,3250,
150,PLTA0070,A,ง,1,เงาะพันธุ์ดี ข. ขนาดกลาง สูงตั้งแต่ 2 เมตร ขึ้นไป,ต้น,มีผล/ขนาดใหญ่,2559,3250,
151,PLTA0070,A,ง,1,เงาะพันธุ์ดี ค. ขนาดใหญ่ มีผลแล้ว,ต้น,ไม่มีผล/ขนาดเล็ก,2559,4400,
152,PLTA0070,A,ง,1,เงาะพันธุ์ดี ค. ขนาดใหญ่ มีผลแล้ว,ต้น,มีผล/ขนาดใหญ่,2559,4400,
153,PLTA0071,A,ง,1,เงาะพันธุ์พื้นเมือง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,1134,
154,PLTA0071,A,ง,1,เงาะพันธุ์พื้นเมือง,ต้น,มีผล/ขนาดใหญ่,2559,1640,
155,PLTA0072,A,จ,1,จวง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,125,
156,PLTA0072,A,จ,1,จวง,ต้น,มีผล/ขนาดใหญ่,2559,250,
157,PLTA0073,A,จ,0,จั๋ง จั๋งไทย จั๋งจีน,กอ,ไม่มีผล/ขนาดเล็ก,2559,,
158,PLTA0073,A,จ,0,จั๋ง จั๋งไทย จั๋งจีน,กอ,มีผล/ขนาดใหญ่,2559,,
159,PLTA0073,A,จ,0,จั๋ง จั๋งไทย จั๋งจีน,ต้น,ไม่มีผล/ขนาดเล็ก,2559,90,
160,PLTA0073,A,จ,0,จั๋ง จั๋งไทย จั๋งจีน,ต้น,มีผล/ขนาดใหญ่,2559,120,
161,PLTA0074,A,จ,1,จัน จันอิน จันโอ จันลูกหอม,ต้น,ไม่มีผล/ขนาดเล็ก,2559,200,
162,PLTA0074,A,จ,1,จัน จันอิน จันโอ จันลูกหอม,ต้น,มีผล/ขนาดใหญ่,2559,400,
